Temperature,Energy,HeatCapacity,Magnetization,Susceptibility
5.0000,-0.4282,0.0975,0.0844,0.2067
4.9000,-0.4384,0.1024,0.0857,0.2173
4.8000,-0.4489,0.1078,0.0870,0.2284
4.7000,-0.4598,0.1135,0.0886,0.2415
4.6000,-0.4715,0.1199,0.0901,0.2554
4.5000,-0.4839,0.1265,0.0918,0.2709
4.4000,-0.4968,0.1339,0.0938,0.2884
4.3000,-0.5104,0.1419,0.0957,0.3076
4.2000,-0.5250,0.1506,0.0981,0.3300
4.1000,-0.5408,0.1604,0.1008,0.3565
4.0000,-0.5573,0.1709,0.1035,0.3859
3.9000,-0.5752,0.1831,0.1066,0.4185
3.8000,-0.5939,0.1968,0.1100,0.4577
3.7000,-0.6143,0.2119,0.1141,0.5029
3.6000,-0.6365,0.2287,0.1188,0.5590
3.5000,-0.6602,0.2484,0.1241,0.6262
3.4000,-0.6861,0.2698,0.1301,0.7051
3.3000,-0.7140,0.2953,0.1374,0.8035
3.2000,-0.7451,0.3257,0.1466,0.9393
3.1000,-0.7796,0.3616,0.1578,1.1119
3.0000,-0.8177,0.4045,0.1713,1.3347
2.9000,-0.8607,0.4603,0.1902,1.6632
2.8000,-0.9107,0.5317,0.2155,2.1383
2.7000,-0.9678,0.6360,0.2503,2.8252
2.6000,-1.0395,0.8015,0.3045,3.8872
2.5000,-1.1307,1.0624,0.3885,5.2010
2.4000,-1.2557,1.4085,0.5179,6.0593
2.3000,-1.4074,1.5389,0.6708,4.8695
2.2000,-1.5505,1.2859,0.7946,2.3962
2.1000,-1.6617,0.9605,0.8684,0.9213
2.0000,-1.7455,0.7241,0.9113,0.3917
1.9000,-1.8097,0.5615,0.9384,0.1988
1.8000,-1.8591,0.4410,0.9567,0.1150
1.7000,-1.8980,0.3421,0.9700,0.0692
1.6000,-1.9283,0.2631,0.9796,0.0433
1.5000,-1.9511,0.1972,0.9865,0.0271
1.4000,-1.9681,0.1438,0.9914,0.0168
1.3000,-1.9803,0.1010,0.9948,0.0102
1.2000,-1.9886,0.0669,0.9970,0.0059
1.1000,-1.9940,0.0415,0.9985,0.0032
1.0000,-1.9972,0.0233,0.9993,0.0016
0.9000,-1.9989,0.0115,0.9997,0.0007
0.8000,-1.9996,0.0047,0.9999,0.0002
0.7000,-1.9999,0.0014,1.0000,0.0001
0.6000,-2.0000,0.0003,1.0000,0.0000
0.5000,-2.0000,0.0000,1.0000,0.0000
