Temperature,Energy,HeatCapacity,Magnetization,Susceptibility
5.0000,-0.4282,0.0978,0.1696,0.2036
4.9000,-0.4387,0.1030,0.1723,0.2141
4.8000,-0.4488,0.1083,0.1750,0.2249
4.7000,-0.4603,0.1142,0.1782,0.2374
4.6000,-0.4720,0.1203,0.1815,0.2509
4.5000,-0.4842,0.1272,0.1849,0.2654
4.4000,-0.4973,0.1349,0.1885,0.2810
4.3000,-0.5114,0.1431,0.1928,0.3001
4.2000,-0.5260,0.1525,0.1975,0.3208
4.1000,-0.5416,0.1629,0.2029,0.3440
4.0000,-0.5583,0.1741,0.2088,0.3719
3.9000,-0.5759,0.1873,0.2149,0.4005
3.8000,-0.5960,0.2022,0.2226,0.4371
3.7000,-0.6171,0.2188,0.2311,0.4784
3.6000,-0.6398,0.2386,0.2400,0.5241
3.5000,-0.6643,0.2615,0.2509,0.5812
3.4000,-0.6923,0.2895,0.2639,0.6475
3.3000,-0.7236,0.3246,0.2799,0.7312
3.2000,-0.7575,0.3647,0.2973,0.8254
3.1000,-0.7965,0.4177,0.3195,0.9416
3.0000,-0.8415,0.4836,0.3462,1.0774
2.9000,-0.8943,0.5712,0.3797,1.2412
2.8000,-0.9555,0.6778,0.4195,1.4157
2.7000,-1.0311,0.8139,0.4713,1.5909
2.6000,-1.1195,0.9625,0.5322,1.7255
2.5000,-1.2211,1.0996,0.6022,1.7492
2.4000,-1.3364,1.1813,0.6796,1.6133
2.3000,-1.4557,1.1688,0.7558,1.3098
2.2000,-1.5680,1.0606,0.8216,0.9414
2.1000,-1.6656,0.8887,0.8737,0.5965
2.0000,-1.7452,0.7164,0.9111,0.3555
1.9000,-1.8090,0.5640,0.9379,0.2004
1.8000,-1.8591,0.4411,0.9567,0.1171
1.7000,-1.8981,0.3429,0.9700,0.0708
1.6000,-1.9282,0.2629,0.9796,0.0441
1.5000,-1.9512,0.1969,0.9865,0.0269
1.4000,-1.9681,0.1437,0.9914,0.0167
1.3000,-1.9803,0.1005,0.9948,0.0101
1.2000,-1.9886,0.0668,0.9970,0.0059
1.1000,-1.9940,0.0412,0.9985,0.0032
1.0000,-1.9971,0.0235,0.9993,0.0016
0.9000,-1.9989,0.0114,0.9997,0.0007
0.8000,-1.9996,0.0048,0.9999,0.0002
0.7000,-1.9999,0.0014,1.0000,0.0001
0.6000,-2.0000,0.0003,1.0000,0.0000
0.5000,-2.0000,0.0000,1.0000,0.0000
