Temperature,Energy,HeatCapacity,Magnetization,Susceptibility
5.0000,-0.4282,0.0976,0.0422,0.2075
4.9000,-0.4382,0.1026,0.0428,0.2184
4.8000,-0.4488,0.1078,0.0434,0.2292
4.7000,-0.4598,0.1134,0.0442,0.2423
4.6000,-0.4715,0.1195,0.0450,0.2566
4.5000,-0.4838,0.1263,0.0459,0.2717
4.4000,-0.4967,0.1338,0.0468,0.2903
4.3000,-0.5105,0.1419,0.0478,0.3093
4.2000,-0.5252,0.1507,0.0490,0.3341
4.1000,-0.5408,0.1601,0.0502,0.3587
4.0000,-0.5572,0.1713,0.0516,0.3868
3.9000,-0.5750,0.1830,0.0532,0.4228
3.8000,-0.5939,0.1964,0.0548,0.4614
3.7000,-0.6144,0.2117,0.0569,0.5074
3.6000,-0.6363,0.2285,0.0593,0.5658
3.5000,-0.6601,0.2477,0.0618,0.6328
3.4000,-0.6860,0.2700,0.0650,0.7181
3.3000,-0.7142,0.2951,0.0686,0.8236
3.2000,-0.7452,0.3249,0.0728,0.9567
3.1000,-0.7794,0.3595,0.0783,1.1408
3.0000,-0.8173,0.4008,0.0849,1.3858
2.9000,-0.8597,0.4522,0.0939,1.7376
2.8000,-0.9083,0.5159,0.1059,2.2774
2.7000,-0.9635,0.5969,0.1236,3.1868
2.6000,-1.0286,0.7078,0.1512,4.7868
2.5000,-1.1072,0.8851,0.2002,8.1959
2.4000,-1.2118,1.2683,0.3117,15.7666
2.3000,-1.3760,1.8936,0.5706,18.3308
2.2000,-1.5466,1.4020,0.7851,4.3914
2.1000,-1.6621,0.9616,0.8688,0.9421
2.0000,-1.7456,0.7246,0.9114,0.3825
1.9000,-1.8096,0.5638,0.9384,0.1975
1.8000,-1.8593,0.4394,0.9569,0.1136
1.7000,-1.8981,0.3411,0.9701,0.0690
1.6000,-1.9283,0.2619,0.9796,0.0430
1.5000,-1.9511,0.1974,0.9865,0.0272
1.4000,-1.9681,0.1440,0.9914,0.0168
1.3000,-1.9803,0.1012,0.9948,0.0102
1.2000,-1.9886,0.0672,0.9970,0.0059
1.1000,-1.9940,0.0416,0.9984,0.0032
1.0000,-1.9972,0.0234,0.9993,0.0016
0.9000,-1.9989,0.0115,0.9997,0.0007
0.8000,-1.9996,0.0047,0.9999,0.0002
0.7000,-1.9999,0.0015,1.0000,0.0001
0.6000,-2.0000,0.0003,1.0000,0.0000
0.5000,-2.0000,0.0000,1.0000,0.0000
